case,H2,CO,CO2,CH4,H2CO,T_out_K
A_case1_richter,0.559024139181509,0.24104147094061185,0.02600420861661579,0.1682944092501547,2.3192031520552834,1413.3018631821406
A_case4_richter,0.6005113012144158,0.26666145630242516,0.023226319624762033,0.10426342171984151,2.2519613803254934,1433.5434950376384
B_case1_134L,0.5484245123382337,0.23859265527279666,0.026696702644180337,0.18019843503583913,2.298580866670806,1449.349846878898
B_case4_134L,0.5914801605750422,0.26497070657411487,0.023844031993977336,0.11409881405548093,2.2322473613119924,1470.6187799979316
