generation,individual,pv_error,delay_diff,size_penalty,tau_mismatch,pen_species,reason,keep_count,delta_T,delta_Y,delay_red,fitness
0,0,0.9999974257533578,3.274557560643949,0.32830188679245276,141.8643782652831,0.05196723797433886,,27,1.7629488940372084,0.0009248080741915965,0.005,-183.52671306504308
0,1,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",25,0.0,0.0,0.0,-1000000.0
0,2,0.9999974239034966,3.274557560643949,0.10188679245283017,141.86372617493413,0.05196723303054373,,23,1.7624775917965962,0.0009249154807330559,0.005,-183.29964577962872
0,3,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",25,0.0,0.0,0.0,-1000000.0
0,4,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",24,0.0,0.0,0.0,-1000000.0
0,5,0.9999522049963588,3.274557560643949,0.21509433962264146,105.52489175217653,0.05188416160480558,,25,23.511556603629515,0.004063189515138094,0.005,-147.07231225661903
0,6,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",25,0.0,0.0,0.0,-1000000.0
0,7,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",27,0.0,0.0,0.0,-1000000.0
0,8,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",23,0.0,0.0,0.0,-1000000.0
0,9,0.9999577135529908,3.274557560643949,0.32830188679245276,117.65050742811434,0.05189722351227835,,27,4.981771964321979,0.0023536008430911567,0.005,-159.31140222643273
0,10,0.9999577091923064,3.274557560643949,0.3849056603773584,117.65170746054343,0.05189721238687031,,28,4.981603499111998,0.002353992015201839,0.005,-159.36920580557793
0,11,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",29,0.0,0.0,0.0,-1000000.0
0,12,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",27,0.0,0.0,0.0,-1000000.0
0,13,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",25,0.0,0.0,0.0,-1000000.0
0,14,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",26,0.0,0.0,0.0,-1000000.0
0,15,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",27,0.0,0.0,0.0,-1000000.0
0,16,0.9999211956443363,3.274557560643949,0.5547169811320753,117.07691203672964,0.051894782374211655,,31,5.272743560527488,0.0023849602642213516,0.005,-158.96413658871768
0,17,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",28,0.0,0.0,0.0,-1000000.0
0,18,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",29,0.0,0.0,0.0,-1000000.0
0,19,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",24,0.0,0.0,0.0,-1000000.0
0,20,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",25,0.0,0.0,0.0,-1000000.0
0,21,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",28,0.0,0.0,0.0,-1000000.0
0,22,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",27,0.0,0.0,0.0,-1000000.0
0,23,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",28,0.0,0.0,0.0,-1000000.0
0,24,0.9999974257289785,3.274557560643949,0.21509433962264146,141.86412045060445,0.05196723756450472,,25,1.7629870194359683,0.0009248147258837033,0.005,-183.41324769497356
0,25,0.9997880393260303,3.274557560643949,0.32830188679245276,103.33589776737881,0.05190636761762541,,27,2.5995153481987927,0.004241847079441537,0.005,-144.9968057735772
