generation,fitness
0,-114.6188076671473
1,-27.05032008493191
2,-14.888870764254746
3,-14.888870764254746
4,-14.888870764254746
5,-14.888870764254746
6,-14.888870764254746
7,-14.888870764254746
8,-14.888870764254746
9,-14.888870764254746
10,-14.888870764254746
11,-14.888870764254746
12,-14.888870764254746
13,-14.888870764254746
14,-14.658524403235132
15,-14.086901588832287
16,-14.086901588832287
17,-14.086901588832287
18,-14.086901588832287
19,-13.7030465277107
20,-13.7030465277107
21,-13.7030465277107
22,-13.7030465277107
23,-13.7030465277107
24,-13.7030465277107
25,-13.7030465277107
26,-13.7030465277107
27,-13.7030465277107
28,-13.7030465277107
29,-13.7030465277107
30,-13.7030465277107
31,-13.7030465277107
32,-13.7030465277107
33,-13.7030465277107
34,-13.7030465277107
35,-13.7030465277107
36,-13.7030465277107
37,-13.7030465277107
38,-13.7030465277107
39,-13.7030465277107
40,-13.7030465277107
41,-13.7030465277107
42,-13.7030465277107
43,-13.7030465277107
44,-13.7030465277107
45,-13.7030465277107
46,-13.7030465277107
47,-13.7030465277107
48,-13.7030465277107
49,-13.7030465277107
50,-13.7030465277107
51,-13.7030465277107
52,-13.7030465277107
53,-13.7030465277107
54,-13.7030465277107
55,-13.7030465277107
56,-13.7030465277107
57,-13.7030465277107
58,-13.7030465277107
59,-13.7030465277107
60,-13.7030465277107
61,-13.7030465277107
62,-13.7030465277107
63,-13.7030465277107
64,-13.7030465277107
65,-13.7030465277107
66,-13.7030465277107
67,-13.467096797701036
68,-13.467096797701036
69,-13.467096797701036
70,-13.467096797701036
71,-13.467096797701036
72,-13.467096797701036
73,-13.467096797701036
74,-13.467096797701036
75,-13.467096797701036
76,-13.467096797701036
77,-13.467096797701036
78,-13.467096797701036
79,-13.467096797701036
