cell,z,T,p,u,dz,dt_try,used_fallback,substeps,halvings,dt_min,dt_effective,X_H2,X_CO,X_CO2,X_CH4,X_H2O,X_O2,X_N2,X_O,X_OH,X_H,X_HO2,X_H2O2,H2_CO
0,0.0,1859.838534752399,5100000.0,0.18758252790271876,0.001,0.005330986905766645,0,54,0,1e-08,0.005330986905766645,0.44946598310566316,0.24897820076677163,0.032354551114637475,0.0235590202715826,0.23664139164061967,4.3212893814021973e-11,0.006424161805906532,1.6728800252888646e-10,2.1762661323270024e-06,5.4847293151756876e-05,3.5473931598417296e-13,1.29634785377509e-11,1.8052423132686097
1,0.001,1844.1154603979346,5100000.0,0.18736273150219493,0.001,0.005337240720085708,0,54,0,1e-08,0.005337240720085708,0.45640669774612774,0.25166231919043097,0.03192342380133295,0.02088809298396022,0.23103123049981142,3.0931643998173e-11,0.0063799076724486104,1.2823135379913992e-10,1.798548347949524e-06,4.878176520003987e-05,2.50826545727873e-13,9.97385306424847e-12,1.8135678762491585
2,0.002,1832.5352770664144,5100000.0,0.18706742323216127,0.001,0.0053456661920175345,0,54,0,1e-08,0.0053456661920175345,0.4612091325026705,0.2533506055317953,0.03164692470287994,0.018890765336291054,0.2272918803884017,2.414085409050436e-11,0.006349491586865785,1.0450805064171149e-10,1.5630582616508764e-06,4.467168216960586e-05,1.9437944015072456e-13,8.234457090602123e-12,1.8204382481524763
3,0.003,1823.509898839549,5100000.0,0.1867832086222454,0.001,0.005353800308797686,0,54,0,1e-08,0.005353800308797686,0.4648101299250933,0.25453677641179673,0.03145100243865517,0.017323307523757915,0.2245539957588157,1.987247783427042e-11,0.006326791490901083,8.86743634689747e-11,1.4007906677226433e-06,4.1669553348878915e-05,1.592943220445257e-13,7.094321908797013e-12,1.8261020528252092
4,0.004,1816.193644461837,5100000.0,0.1865301455302738,0.001,0.005361063742041096,0,54,0,1e-08,0.005361063742041096,0.4676532139506379,0.25543058247321276,0.031302971519940936,0.016048822558368182,0.22242701874814047,1.695528546998309e-11,0.006308931113232034,7.738871092758318e-11,1.281365975380827e-06,3.936042485424835e-05,1.3549635715100938e-13,6.287002962745368e-12,1.8308426869741845
5,0.005,1810.089222855162,5100000.0,0.18630768805338954,0.001,0.005367465027602262,0,54,0,1e-08,0.005367465027602262,0.4699800400012407,0.25613699879022744,0.031186040905110877,0.014984365818072961,0.22070622365611084,1.4840438600800635e-11,0.006294352841525219,6.894696242910758e-11,1.189279843226473e-06,3.751629098320667e-05,1.1833660688278432e-13,5.683616192786432e-12,1.8348775937136192
6,0.006,1804.8825501179977,5100000.0,0.18611153604085504,0.001,0.005373122060421235,0,54,0,1e-08,0.005373122060421235,0.4719353730940205,0.256714815833607,0.031090632222790217,0.014076577392253379,0.21927248765377902,1.3238789516354288e-11,0.0062821281333229105,6.239584625881254e-11,1.115772136541953e-06,3.600099494046532e-05,1.0539292972646243e-13,5.214325454815276e-12,1.8383643794050106
7,0.007,1800.3641144372173,5100000.0,0.1859373071088045,0.001,0.005378156839793493,0,54,0,1e-08,0.005378156839793493,0.4736121199786308,0.2571997731975082,0.031010845322382675,0.013289431410509225,0.21805105713243209,1.1984365727834626e-11,0.006271663432983724,5.716304050317125e-11,1.0555078915859702e-06,3.472791545597049e-05,9.528653966673189e-14,4.838023977820495e-12,1.8414173313245334
8,0.008,1796.3879773267636,5100000.0,0.1857812887824955,0.0010000000000000009,0.0053826733927481605,0,54,0,1e-08,0.0053826733927481605,0.47507312083936953,0.25761499592377674,0.03094282596509763,0.012597625397511022,0.21699225690803037,1.0975428217716236e-11,0.0062625585828250075,5.288519300926592e-11,1.0050449993473961e-06,3.363913034848302e-05,8.717768497699382e-14,4.5289360582063805e-12,1.8441205999511552
9,0.009000000000000001,1792.8488464870395,5100000.0,0.18564048449321344,0.0009999999999999992,0.005386756034008071,0,54,0,1e-08,0.005386756034008071,0.47636267745800565,0.2579761974560488,0.030883937031279795,0.011982797075835354,0.21606156114386418,1.0146283209684287e-11,0.006254532246224239,4.932095160998543e-11,9.62058391171365e-07,3.269431918265675e-05,8.052689385748607e-14,4.270071734755808e-12,1.846537324588495
10,0.01,1789.6685122124488,5100000.0,0.1855125022161599,0.0009999999999999992,0.005390472275743417,0,54,0,1e-08,0.005390472275743417,0.47751308787213004,0.25829448376647596,0.03083230533845136,0.011431249449092027,0.2152340903540354,9.452683602650351e-12,0.006247379791814093,4.63039087040842e-11,9.249178168857523e-07,3.186446973952701e-05,7.497231413847096e-14,4.049770064943275e-12,1.8487157794041378
11,0.011,1786.787442369097,5100000.0,0.18539542836107506,0.0010000000000000009,0.005393876261352069,0,54,0,1e-08,0.005393876261352069,0.47854856101008625,0.2585779620776506,0.030786558632575418,0.010932524156968146,0.214491375815455,8.86376857889998e-12,0.0062409481446943135,4.371568613023213e-11,8.924442722385365e-07,3.1128120093926446e-05,7.026242727955795e-14,3.85975578165369e-12,1.8506935284236588
12,0.012,1784.1593682504028,5100000.0,0.18528772085214662,0.0010000000000000009,0.005397011714542958,0,54,0,1e-08,0.005397011714542958,0.47948767020464367,0.25883271218481513,0.03074566530472941,0.010478474190488354,0.21381936319626071,8.357372714561606e-12,0.006235120068139692,4.1469807258221196e-11,8.637625771998067e-07,3.0469016234795266e-05,6.621709941180061e-14,3.69398926351647e-12,1.852500273853614
13,0.013000000000000001,1781.7476779717254,5100000.0,0.18518812555282443,0.0009999999999999992,0.00539991426024101,0,54,0,1e-08,0.00539991426024101,0.4803449509121259,0.2590633986855614,0.030708832600899964,0.010062641885596137,0.21320712976075903,7.917172598291657e-12,0.0062298039528480165,3.9501641837091506e-11,8.382084565894486e-07,2.9874597313098406e-05,6.270399549728779e-14,3.5479560005196405e-12,1.8541598440740963
14,0.014,1779.5229454001624,5100000.0,0.1850956125970888,0.0009999999999999992,0.005402613200653073,0,55,0,1e-08,0.005402613200653073,0.48113197478156855,0.259273670970524,0.03067543971088617,0.009679830428052927,0.21264603180017005,7.530885048657826e-12,0.00622492696742839,3.776192118463441e-11,8.15267936342417e-07,2.9334985167655818e-05,5.962374249073622e-14,3.418211359136409e-12,1.855691605632671
15,0.015,1777.4611932918133,5100000.0,0.1850093282340779,0.0010000000000000009,0.005405132863002339,0,55,0,1e-08,0.005405132863002339,0.48185809239758903,0.2594664329000644,0.030644992431938668,0.009325801364597677,0.2121291208866999,7.189091823439789e-12,0.006220430330856191,3.6212429765319784e-11,7.945366144059354e-07,2.8842291357717733e-05,5.690028293739781e-14,3.302079548588158e-12,1.8571114845640964
16,0.016,1775.542646384485,5100000.0,0.1849285582735833,0.0010000000000000009,0.005407493625298268,0,55,0,1e-08,0.005407493625298268,0.48253095910673643,0.25964402948717497,0.030617091656691155,0.008997056684125896,0.21165073415755853,6.8844513006659456e-12,0.006216265971263403,3.482306841777844e-11,7.756915812484952e-07,2.8390130687826752e-05,5.4474422988549986e-14,3.1974491048494717e-12,1.8584327167460282
17,0.017,1773.7508182508689,5100000.0,0.1848527001901459,0.0010000000000000009,0.005409712700822689,0,55,0,1e-08,0.005409712700822689,0.48315691541073047,0.2598083792490025,0.030591410959066666,0.008690678775347195,0.21120620016660974,6.611156431486742e-12,0.0062123941125468846,3.356980589500129e-11,7.58471611331961e-07,2.7973272306350274e-05,5.2299406983549576e-14,3.1026305522243993e-12,1.859666408017075
18,0.018000000000000002,1772.0718309574902,5100000.0,0.1847812416379261,0.0009999999999999974,0.005411804743467795,0,55,0,1e-08,0.005411804743467795,0.4837412673409335,0.2599610700033306,0.030567680327384668,0.008404210909555664,0.21079162353454184,6.364553809343932e-12,0.006208781498003787,3.2433220713352265e-11,7.426629054888354e-07,2.7587384748121653e-05,5.0337814218427544e-14,3.016255221770871e-12,1.860821958206034
19,0.019,1770.4939003892903,5100000.0,0.18471374375349056,0.0010000000000000009,0.0054137823189515846,0,55,0,1e-08,0.0054137823189515846,0.4842884965472871,0.260103429483404,0.03054567414781896,0.00813556665298924,0.21040372454776024,6.140870728352958e-12,0.006205400060945287,3.139744422655046e-11,7.280886438982449e-07,2.7228846505589994e-05,4.8559339733232816e-14,2.9372019635061327e-12,1.8619073862622306
20,0.02,1769.0069413000253,5100000.0,0.18464982806424213,0.0010000000000000009,0.005415656274817042,0,55,0,1e-08,0.005415656274817042,0.48480242013994257,0.26023657826551266,0.030525202182542118,0.007882960241628012,0.21003971777661476,5.93701615691445e-12,0.006202225914429226,3.0449381786794334e-11,7.146012056580302e-07,2.6894603118538652e-05,4.6939178883531474e-14,2.8645431514157035e-12,1.8629295826557908
21,0.021,1767.6022603547194,5100000.0,0.1845891661255657,0.0009999999999999974,0.005417436033703913,0,55,0,1e-08,0.005417436033703913,0.48528631396369987,0.2603614700349743,0.030506102696902206,0.007644852397408923,0.20969721891531,5.750433305327811e-12,0.006199238572936406,2.957813024929762e-11,7.020762891711844e-07,2.658205787049449e-05,4.5456832548024876e-14,2.797504290468014e-12,1.8638945075034008
22,0.022,1766.2723149706603,5100000.0,0.1845314712453758,0.0010000000000000009,0.005419129827834503,0,55,0,1e-08,0.005419129827834503,0.4857430087795173,0.26047892261457123,0.03048823715787016,0.0074199077123169675,0.20937417241256853,5.5789888725205306e-12,0.006196420345691664,2.877453652359606e-11,6.904084115708731e-07,2.628898718585939e-05,4.4095210819996633e-14,2.735433387928927e-12,1.8648073475728695
