cell,z,T,p,u,dz,dt_try,used_fallback,substeps,halvings,dt_min,dt_effective,X_H2,X_CO,X_CO2,X_CH4,X_H2O,X_O2,X_N2,X_O,X_OH,X_H,X_HO2,X_H2O2,H2_CO
0,0.0,1852.157727188618,5100000.0,0.1849096662874311,0.001,0.0054080461020656395,0,55,0,1e-08,0.0054080461020656395,0.440117771038867,0.2440974373917075,0.033474277093379884,0.0293760209466311,0.24273563040593069,4.295113436216456e-11,0.006509710941178132,1.7551872051226167e-10,2.0880813398425777e-06,5.108342101022307e-05,3.370467854680866e-13,1.2645813357613299e-11,1.8030413417761622
1,0.001,1834.7836025895704,5100000.0,0.18491783784007154,0.001,0.005407807119531986,0,55,0,1e-08,0.005407807119531986,0.44833205250958624,0.24754405765385154,0.032935450600951016,0.026461152017705963,0.23586824026093017,2.904251615540674e-11,0.006456803794992704,1.2490047157102994e-10,1.683691635736545e-06,4.485530032339149e-05,2.271481485416015e-13,9.389878956504799e-12,1.8111202375801028
2,0.002,1822.0415832858962,5100000.0,0.1846841745104514,0.001,0.005414649103805098,0,55,0,1e-08,0.005414649103805098,0.4538974882008956,0.24963998985691935,0.0325996441245511,0.024273817101465867,0.23141918522292143,2.1813229752408435e-11,0.006421232340057502,9.688939840245498e-11,1.4385611301285314e-06,4.068596919565948e-05,1.7035919584681024e-13,7.568386940090375e-12,1.818208246447398
3,0.003,1812.123300630551,5100000.0,0.18441754386136797,0.001,0.00542247759655518,0,55,0,1e-08,0.00542247759655518,0.4580255280929944,0.25108192947971747,0.0323659103192783,0.02255228611979886,0.2282134181765293,1.745129556688063e-11,0.006394993424505862,7.930988007508959e-11,1.2725923108023305e-06,3.766417545276976e-05,1.3619817813905654e-13,6.403679346351203e-12,1.82420745707227
4,0.004,1804.0823853197921,5100000.0,0.18416619159239,0.001,0.005429878260246987,0,55,0,1e-08,0.005429878260246987,0.46126519600454163,0.25215331553423126,0.03219142309617079,0.021148799274234596,0.22574703818447125,1.455705794226857e-11,0.006374486059056639,6.731902351056433e-11,1.1519270959281565e-06,3.5352413648097684e-05,1.1357064688558743e-13,5.593263005194618e-12,1.829304504790151
5,0.005,1797.3673161351312,5100000.0,0.18393882157791344,0.001,0.005436590228324457,0,55,0,1e-08,0.005436590228324457,0.4639078545145416,0.2529919006402256,0.03205475277505914,0.019973539701381025,0.2237637070441834,1.2505817671432671e-11,0.006357811245629884,5.864233805800945e-11,1.059719534483026e-06,3.351326609891018e-05,9.75504830451411e-14,4.995472181329899e-12,1.8336865857783136
6,0.006,1791.6316956121173,5100000.0,0.18373477956429018,0.001,0.005442627696135736,0,55,0,1e-08,0.005442627696135736,0.4661249919251808,0.2536731641759339,0.03194390856763122,0.018968612618818714,0.22211739971764136,1.0980062233291279e-11,0.006343857178179567,5.2081661585043966e-11,9.866206652202221e-07,3.200623758605144e-05,8.56421640678849e-14,4.535291897968042e-12,1.8375021789924215
7,0.007,1786.6453674758816,5100000.0,0.1835512992108714,0.001,0.0054480682201609384,0,55,0,1e-08,0.0054480682201609384,0.4680252754935929,0.2542422097534418,0.03185161442567111,0.01809488689889849,0.22071792567137494,9.802556205726917e-12,0.006331922431845467,4.6949998804432896e-11,9.270140525724627e-07,3.0742584269576634e-05,7.645577623726956e-14,4.169336658699049e-12,1.8408637808311725
8,0.008,1782.2484986103989,5100000.0,0.1833854435011362,0.0010000000000000009,0.005452995509939725,0,55,0,1e-08,0.005452995509939725,0.469681501904389,0.25472781683675483,0.03177317462203687,0.017324863414305086,0.21950609001482396,8.867079598373836e-12,0.00632153884923156,4.282686084208498e-11,8.773152003194382e-07,2.966331359487128e-05,6.915961450702552e-14,3.870781799573872e-12,1.8438563472845593
9,0.009000000000000001,1778.3260539563555,5100000.0,0.18323460820126408,0.0009999999999999992,0.0054574843137798704,0,55,0,1e-08,0.0054574843137798704,0.4711446062461846,0.25514931537470914,0.03170540841256792,0.016638581022596632,0.21844115779368292,8.10631769051836e-12,0.006312379886860978,3.944117231296343e-11,8.351244843339999e-07,2.872756458710355e-05,6.32271935515446e-14,3.622150088097195e-12,1.846544661718051
10,0.01,1774.7927602984566,5100000.0,0.18309660607244924,0.0009999999999999992,0.005461597685782939,0,55,0,1e-08,0.005461597685782939,0.47245149739786035,0.2555202339684091,0.03164607556050105,0.016021149451937382,0.21749401375460586,7.475645753870328e-12,0.006304209554683575,3.6610645311291905e-11,7.987720662804931e-07,2.7906062269183374e-05,5.83097815205878e-14,3.411563307099878e-12,1.8489788071197182
11,0.011,1771.583820888156,5100000.0,0.1829696313934546,0.0010000000000000009,0.005465387848159452,0,55,0,1e-08,0.005465387848159452,0.4736297019692065,0.2558503654804043,0.03159354682047932,0.015461200149892102,0.21664319173000354,6.944362829240304e-12,0.0062968522582163506,3.420833357298525e-11,7.670581456482917e-07,2.717723164878558e-05,5.4167607591459185e-14,3.2306629458540056e-12,1.851198066807069
12,0.012,1768.6489490740103,5100000.0,0.18285219783766907,0.0010000000000000009,0.005468897895817321,0,55,0,1e-08,0.005468897895817321,0.47470025051414555,0.2561470004429216,0.031546605085180514,0.014949878216143183,0.2158724502124869,6.490680468726625e-12,0.006290174112815165,3.214318795354894e-11,7.390971327922774e-07,2.65247870071191e-05,5.063058804642227e-14,3.073393430937456e-12,1.8532336888322265
13,0.013000000000000001,1765.9484041218557,5100000.0,0.18274307813378507,0.0009999999999999992,0.005472163488829412,0,55,0,1e-08,0.005472163488829412,0.4756795431869503,0.2564156967592069,0.031504320209046026,0.014480166030659405,0.21516922880174397,6.0987216601563455e-12,0.006284070897870353,3.034824387362134e-11,7.142201975121771e-07,2.5936179951370266e-05,4.7574830626782346e-14,2.93525771262974e-12,1.8551108578725126
