z_m,T_C,rho_kg_m3,u_m_s,residence_time_s,Y_N2,X_N2,Y_AR,X_AR,Y_HE,X_HE,Y_H,X_H,Y_O2,X_O2,Y_OH,X_OH,Y_O,X_O,Y_H2,X_H2,Y_H2O,X_H2O,Y_HO2,X_HO2,Y_H2O2,X_H2O2,Y_CO,X_CO,Y_CO2,X_CO2,Y_HCO,X_HCO,Y_CH3,X_CH3,Y_CH4,X_CH4,Y_CH2O,X_CH2O,Y_T-CH2,X_T-CH2,Y_S-CH2,X_S-CH2,Y_C2H4,X_C2H4,Y_CH3O,X_CH3O,Y_C2H5,X_C2H5,Y_C2H6,X_C2H6,Y_CH,X_CH,Y_C2H2,X_C2H2,Y_C2H4OOH,X_C2H4OOH,Y_OC2H3OOH,X_OC2H3OOH,Y_C2H3,X_C2H3,Y_CH2CHO,X_CH2CHO,Y_C2H4O,X_C2H4O,Y_HCCO,X_HCCO,Y_CH2CO,X_CH2CO,Y_C2H,X_C2H,Y_CH2OH,X_CH2OH,Y_CH3OH,X_CH3OH,Y_CH3CHO,X_CH3CHO,Y_CH3CO,X_CH3CO,Y_C2H5OH,X_C2H5OH,Y_CH2CH2OH,X_CH2CH2OH,Y_CH3CHOH,X_CH3CHOH,Y_CH3CH2O,X_CH3CH2O,Y_C3H4,X_C3H4,Y_C3H3,X_C3H3,Y_C3H5,X_C3H5,Y_C3H6,X_C3H6,Y_C3H8,X_C3H8,Y_I-C3H7,X_I-C3H7,Y_N-C3H7,X_N-C3H7,Y_C3H6OOH,X_C3H6OOH,Y_OC3H5OOH,X_OC3H5OOH,Y_C4H10,X_C4H10,Y_PC4H9,X_PC4H9,Y_SC4H9,X_SC4H9,Y_C4H8,X_C4H8,Y_SC4H9O2,X_SC4H9O2,Y_C4H8OOH1-3,X_C4H8OOH1-3,Y_NC4KET13,X_NC4KET13
0.0,1026.85,9.431875046183468,0.1400571080112864,0.0071399446568567995,0.009003012777116223,0.006422549403420948,1e-30,5.002394380355145e-31,5.510430489783872e-30,2.7512992630581996e-29,2.188101200324396e-29,4.338120224887268e-28,0.3400368108962403,0.2123722712858692,1.2968812900141065e-30,1.5239377403558186e-30,1.378589918074249e-30,1.7220151624264377e-30,1.094050600162198e-29,1.084530056221817e-28,0.18783914480821862,0.20837544835888971,1e-30,6.054828076567533e-31,1e-30,5.875394116986769e-31,1e-30,7.1347966974362025e-31,0.0004498289659954088,0.00020426813735843828,1e-30,6.886954838210352e-31,1.4669810508327177e-30,1.949915461940034e-30,0.4565675682143004,0.568740540719509,1e-30,6.655753530113502e-31,1.5724003777906834e-30,2.2402322962890168e-30,1.5724003777906834e-30,2.2402322962890168e-30,1e-30,7.1236064552359035e-31,1e-30,6.439571292620609e-31,1e-30,6.876527957304659e-31,0.005292104703868943,0.0035171404505948004,1.694143951092243e-30,2.600563087865712e-30,1e-30,7.675153832674861e-31,1e-30,3.2729390025415654e-31,1e-30,2.6277847167714833e-31,1e-30,7.389102103645197e-31,1e-30,4.6427147286604245e-31,1e-30,4.536482316645587e-31,1e-30,4.870839052747764e-31,1e-30,4.75404180829241e-31,1e-30,7.984245125656734e-31,1e-30,6.439571292620609e-31,1e-30,6.236990683951937e-31,1e-30,4.536482316645587e-31,1e-30,4.6427147286604245e-31,1e-30,4.337963825895678e-31,1e-30,4.435002674046026e-31,1e-30,4.435002674046026e-31,1e-30,4.435002674046026e-31,1e-30,4.98803582915732e-31,1e-30,5.11676922178324e-31,1e-30,4.865621101336352e-31,1e-30,4.749070970157268e-31,0.0008115296342600677,0.00036778164435783247,1e-30,4.637973856325001e-31,1e-30,4.637973856325001e-31,1e-30,2.6615213751406767e-31,1e-30,2.2185845100378337e-31,1e-30,3.4382639786523297e-31,1e-30,3.4989434745988514e-31,1e-30,3.4989434745988514e-31,1e-30,3.5618032276179518e-31,1e-30,2.242584279632695e-31,1e-30,2.242584279632695e-31,1e-30,1.9196547283529898e-31
0.001,1425.2281359583253,4.869201646263378,0.2712972758287819,0.010825938174281976,0.009003012777116223,0.004331698425225751,1e-30,3.3738726631204543e-31,5.510430489783872e-30,1.8556180632516423e-29,9.95292227211412e-07,1.3308697423247414e-05,2.38739275517418e-12,1.0056491910585625e-12,3.8820366362475424e-07,3.0766450079760874e-07,7.1223640484818246e-12,6.000353002878878e-12,0.06604863728305713,0.4415895677598368,0.2349984778186059,0.17582322986663979,1.969665692389217e-14,8.043500555649764e-15,1.914956359972436e-12,7.588337614320194e-13,0.42194851795638755,0.2030447796165333,0.07778944388526132,0.023824546216098613,2.3750947859811593e-07,1.1032119079920507e-07,9.568453268579326e-05,8.577955299651835e-05,0.1671295102259529,0.14041484601255694,7.158306348374514e-06,3.213351773182388e-06,2.7683131793971396e-09,2.6600873283597136e-09,9.049019503521946e-11,8.69525250775299e-11,0.010683855918436099,0.005133087895937025,8.782282083979403e-11,3.81430219322639e-11,3.207558519403054e-06,1.4876287435782968e-06,0.0006126035331884315,0.00027459431407555817,1.8188363908065148e-13,1.8830483830274933e-13,0.008863813843060057,0.004588370457342173,1.6446416558047927e-19,3.630445796754021e-20,4.296591081088401e-23,7.61490631502542e-24,1.8547860696064084e-06,9.243495897598855e-07,7.936533900183486e-09,2.4851558784807178e-09,0.0024144934273390437,0.000738747474911673,3.907240935801132e-09,1.283585289897167e-09,6.465070758875517e-05,2.0729414650556777e-05,1.4134681667115319e-09,7.611507040909627e-10,1.475425751647631e-08,6.4080379412070055e-09,8.48413394423764e-06,3.5688917171505887e-06,9.562706187557291e-07,2.92584149096886e-07,1.3000893927489992e-08,4.070951926338909e-09,7.283137716074729e-07,2.130861426812265e-07,1.8433453021783992e-09,5.513804228318568e-10,2.364792170603179e-10,7.07355320457726e-11,1.6465181024609587e-12,4.925055801874755e-13,0.00016430411990197202,5.527500332980005e-05,2.5673483704591754e-05,8.859952480420213e-06,5.602020459071406e-06,1.8383734380732972e-06,0.00012013341342623271,3.847895211014535e-05,4.782331746298838e-06,1.4617601761461992e-06,2.990493852463907e-08,9.354529950785745e-09,3.1257751391337796e-08,9.777701811477418e-09,3.3621065575283e-21,6.035207295902922e-22,1.5979038385862297e-24,2.3909878879203324e-25,2.6161282633611213e-08,6.066650971324865e-09,1.3369628088945378e-10,3.1550555674048214e-11,3.7056343159401797e-10,8.744807336069786e-11,2.658467132855642e-06,6.386339148331205e-07,4.2515521956562917e-23,6.4305341401322175e-24,4.665273809608216e-24,7.056294060414173e-25,1.3156589050894823e-24,1.70340215430769e-25
0.002,1409.0726617979612,4.868725772582302,0.27132379267104106,0.014511571454561313,0.009003012777115854,0.004290074715363455,9.999999999999591e-31,3.341452793809091e-31,5.510430489783647e-30,1.8377872494927194e-29,8.743426882595476e-07,1.1579058928208322e-05,1.5576907866662515e-12,6.498461207835607e-13,3.063750321996596e-07,2.4047934030994845e-07,4.9065891334876715e-12,4.093916381825406e-12,0.06810072500835923,0.4509343524649135,0.2264645346906341,0.16781008081055793,1.277349374717709e-14,5.166172675907329e-15,1.3654038870837923e-12,5.358651840280648e-13,0.43650029223770653,0.2080288382142069,0.07679327400923917,0.023293448940803006,2.248531654341673e-07,1.034388403803916e-07,8.042135625279706e-05,7.140359436672295e-05,0.16477538980143838,0.1371067631040995,6.773110507478421e-06,3.0112221397065767e-06,1.9525992823648587e-09,1.8582341710526534e-09,6.225618891236566e-11,5.92474752199823e-11,0.00874799974765906,0.004162613447182073,6.220799062869594e-11,2.6758424019257577e-11,2.5470915946498254e-06,1.1699604421064446e-06,0.0005589683950606564,0.00024814523407979143,1.1292475370069163e-13,1.1578802298985047e-13,0.0062717996042490586,0.0032154122677536434,8.853530998172314e-20,1.9355831194928485e-20,3.4141055948586793e-23,5.992722035188164e-24,1.2722282666556021e-06,6.279341614448656e-07,5.413779281252423e-09,1.6789197857615904e-09,0.0024144934199358276,0.0007316487766053591,2.8105961389868592e-09,9.144492898180275e-10,4.5107911633290924e-05,1.432429049677877e-05,7.895634028430943e-10,4.210932444701045e-10,1.0634374017449212e-08,4.574317322620888e-09,6.932078473733702e-06,2.8879918814972327e-06,8.862368823674862e-07,2.685507963753127e-07,1.1562461970785176e-08,3.5857476203529874e-09,5.884628960316766e-07,1.7051493080059193e-07,1.2810783579429549e-09,3.795132846287679e-10,1.6964923498840637e-10,5.0257767611178984e-11,1.131497388404735e-12,3.3520064386371855e-13,0.00010783227199481512,3.592822173585142e-05,1.4886261525397017e-05,5.0879036268231985e-06,3.7738242302562937e-06,1.2265276895418336e-06,9.10901497437189e-05,2.8895983323158993e-05,4.042913047040781e-06,1.2238761450703669e-06,2.203432557318884e-08,6.826301415470415e-09,2.2754333227655262e-08,7.049361987690251e-09,1.676025602080373e-21,2.9796689067503276e-22,9.172724226467681e-25,1.3593513271666913e-25,2.0592865053921377e-08,4.729479998546439e-09,9.092518840334804e-11,2.125095924343268e-11,2.4947056197413646e-10,5.83060517997608e-11,1.8503710956720327e-06,4.4023661564362554e-07,2.0376284416083227e-23,3.0523277823444466e-24,2.16787960322444e-24,3.2474414896156825e-25,7.454466752728246e-25,9.558662051319427e-26
0.003,1397.9272467625137,4.871214349072569,0.2711851804147728,0.01819908859126664,0.009003012777115873,0.004263829490351157,9.999999999999617e-31,3.3210109166251275e-31,5.510430489783658e-30,1.8265442891510404e-29,7.96893617239806e-07,1.0488826534680876e-05,1.159310898868438e-12,4.806889862761533e-13,2.6024279128519675e-07,2.0301965411715817e-07,3.779336742691472e-12,3.1340782691058718e-12,0.06941598485817108,0.45683150684107476,0.2212734605209731,0.16296042486309453,9.470967945725465e-15,3.8070498035313195e-15,1.0838435628378453e-12,4.227620372456484e-13,0.44547716692536615,0.21100824581197417,0.07608759021346238,0.022938204282893886,2.1539287273216857e-07,9.848065739949996e-08,7.115333294569609e-05,6.278832569939327e-05,0.16299160229701415,0.1347928116769788,6.588336064569487e-06,2.9111551419223473e-06,1.5282752663726888e-09,1.4455192328161489e-09,4.788303230593883e-11,4.5290168366117124e-11,0.007593150576687598,0.0035909909156359764,4.928529987605075e-11,2.107010667575781e-11,2.1616060242690685e-06,9.868204263347936e-07,0.0005232936780952526,0.0002308868224188057,8.06814929346911e-14,8.222111948912371e-14,0.004921557556660766,0.0025077372593139773,5.748018811599329e-20,1.2489598218644503e-20,2.9370503160072597e-23,5.12381622434161e-24,9.756644464766894e-07,4.786130351793363e-07,4.20614898157336e-09,1.2964298619027882e-09,0.0024144934144783355,0.0007271727953935339,2.2477237688907386e-09,7.268404572450365e-10,3.5630021602171504e-05,1.1245310663180507e-05,5.249506577798555e-10,2.7825611771394934e-10,8.506985936035546e-09,3.6368471250499607e-09,6.039598969111008e-06,2.5007804932052582e-06,8.445658505026016e-07,2.543578320492474e-07,1.0614150137250653e-08,3.2715201617761158e-09,5.077677384123592e-07,1.4623233190428186e-07,9.946093361358701e-10,2.9284566054954543e-10,1.3473165805851413e-10,3.9669425942017465e-11,8.706213590233023e-13,2.5633952719793594e-13,8.038122651170317e-05,2.6618070343059748e-05,1.018636314587385e-05,3.4602490646128512e-06,2.8616141993557324e-06,9.243612767741521e-07,7.498048752859237e-05,2.3640099222387174e-05,3.585942454359835e-06,1.0789004099845634e-06,1.775361090463233e-08,5.466475035788381e-09,1.8187572335004505e-08,5.600095139234804e-09,1.0321184268235094e-21,1.8236935645464839e-22,6.411926100773176e-25,9.44401917517731e-26,1.7352634603715152e-08,3.960928607112949e-09,6.91692968036517e-11,1.6067291112332406e-11,1.8893714579461748e-10,4.3888087109410124e-11,1.4357115616424488e-06,3.394919620822693e-07,1.2217828685535061e-23,1.819010391815718e-24,1.2689414812028146e-24,1.889220908496365e-25,5.018159247683581e-25,6.395285506312857e-26
0.004,1389.4765403526585,4.874374606199059,0.27100935993148156,0.021888998047725365,0.009003012777115876,0.0042450193494226384,9.999999999999628e-31,3.3063600766916312e-31,5.51043048978366e-30,1.8184863788690133e-29,7.415453025801149e-07,9.717265927697669e-06,9.25974235191214e-13,3.8224604512498395e-13,2.2989305939728048e-07,1.7855214839955775e-07,3.093683274432137e-12,2.554170843159147e-12,0.07037132133947452,0.4610755679793829,0.2176260922606922,0.1595672018469759,7.545540686306263e-15,3.0197041918625106e-15,9.103198112393325e-13,3.5351123355702635e-13,0.4517887554734129,0.21305377848129978,0.07558785743163966,0.02268702067777257,2.0797842557284872e-07,9.467116943598668e-08,6.475350406521656e-05,5.688880017726514e-05,0.16156337185925898,0.13302224003439359,6.481898671015013e-06,2.8514889260336543e-06,1.266161105077491e-09,1.1923152628010323e-09,3.914218015762113e-11,3.685930537124115e-11,0.006806930611383005,0.0032049662670228713,4.141912414087691e-11,1.7629097802132682e-11,1.9037442742511327e-06,8.652668067626036e-07,0.0004970651671644475,0.00021834680128983826,6.228049787984858e-14,6.31889851929438e-14,0.004086067543908942,0.0020728355610414246,4.1310006704057165e-20,8.936457565541804e-21,2.6291105479911673e-23,4.5663673957716894e-24,7.954879463393936e-07,3.8850578647962747e-07,3.4958732524142143e-09,1.072753396237725e-09,0.0024144934101298474,0.000723964827450371,1.8996945579397e-09,6.115891590314232e-10,2.999978343849168e-05,9.426562186891487e-06,3.8380475471529053e-10,2.0254262442466072e-10,7.1895968641140834e-09,3.0600865881248012e-09,5.4424150948733135e-06,2.2435666638144432e-06,8.158861641664538e-07,2.446363628833207e-07,9.924128249397656e-09,3.045345616259962e-09,4.538024296048599e-07,1.3011428015857e-07,8.197325677279884e-10,2.402914379801128e-10,1.1303814244418942e-10,3.313531615536384e-11,7.125088008414154e-13,2.0886051264524358e-13,6.419303990484664e-05,2.1163608906770204e-05,7.622053081209919e-06,2.5777453921320302e-06,2.3142796675552433e-06,7.442628584939248e-07,6.455690841103823e-05,2.0263926633311642e-05,3.2672500073366618e-06,9.786789671494883e-07,1.502842986460277e-08,4.6069566496354124e-09,1.5304667610413175e-08,4.691637173908876e-09,7.125799313919311e-22,1.253532984037329e-22,4.947527236871764e-25,7.254982859819246e-26,1.5192451809644095e-08,3.452544662122879e-09,5.599399272013362e-11,1.2949427949214793e-11,1.5260033694280904e-10,3.5291054848393933e-11,1.1817434297210583e-06,2.782052620162075e-07,8.267449534977467e-24,1.2254413951641793e-24,8.420659755523426e-25,1.2481509557880365e-25,3.7101161995344805e-25,4.7074189931033524e-26
0.005,1382.6987722927297,4.877612123069055,0.2708294773675206,0.025581358309688215,0.009003012777115887,0.004230522357645015,9.999999999999638e-31,3.2950686617650583e-31,5.510430489783664e-30,1.8122761404902945e-29,6.992588907037884e-07,9.131848907330203e-06,7.727775638972854e-13,3.1791639344915815e-13,2.0807258828016798e-07,1.610528483996194e-07,2.6309879403752236e-12,2.164747622832112e-12,0.07111548758847651,0.46436012202537835,0.2148514190045601,0.15699477990021274,6.2855759116766456e-15,2.506879349506412e-15,7.915739882035498e-13,3.063480071377077e-13,0.4565789682931324,0.2145774332354477,0.07521620593096309,0.02249837622451931,2.0193926674474994e-07,9.160824243485785e-08,5.998628447203855e-05,5.252061255521672e-05,0.1603758668536078,0.13159357504370298,6.414103445253273e-06,2.8120285907819085e-06,1.0871770900138106e-09,1.0202738305110716e-09,3.3246159760196936e-11,3.120024058627678e-11,0.006228142753085955,0.002922436060338641,3.6090324791789426e-11,1.5308558109374782e-11,1.7166463202587594e-06,7.775647799673282e-07,0.0004765784875195056,0.000208632642573741,5.0481604529244066e-14,5.1043068634637146e-14,0.0035146798456223926,0.0017768853254748762,3.163678543869319e-20,6.820509238958683e-21,2.4097965340471272e-23,4.171158556373129e-24,6.741044100434778e-07,3.2809935530527276e-07,3.0262433660878576e-09,9.254700967706142e-10,0.0024144934065001783,0.0007214924437246173,1.6606836299133375e-09,5.328159597164284e-10,2.6247940494784043e-05,8.219488089306065e-06,2.978571823962597e-10,1.566493076406465e-10,6.285078823571606e-09,2.6659636605580205e-09,5.0069207787261055e-06,2.056990832686335e-06,7.944573886465274e-07,2.3739762603059267e-07,9.39050378201634e-09,2.8717553060189592e-09,4.145187585749633e-07,1.1844497917300564e-07,7.012579200542031e-10,2.0486048955327252e-10,9.814049451213361e-11,2.867006443107543e-11,6.060877073352381e-13,1.7705814207035314e-13,5.352292640821307e-05,1.7585550015904117e-05,6.030607450668489e-06,2.032560262188872e-06,1.948842593932393e-06,6.24599439561981e-07,5.7177804210269645e-05,1.7886389088976236e-05,3.0283577586075322e-06,9.040228077708109e-07,1.3125171248839175e-08,4.009773263410461e-09,1.3303838072199746e-08,4.064356433244002e-09,5.283856111311988e-22,9.263337381865554e-23,4.047684521478581e-25,5.915196461471948e-26,1.3630304956843863e-08,3.086962337430788e-09,4.715134945025216e-11,1.0867198351848715e-11,1.2834215199166248e-10,2.957963322063634e-11,1.0094182358537188e-06,2.3682503511666145e-07,6.0326359836864085e-24,8.911328114756346e-25,6.044834617818749e-25,8.929347771768488e-26,2.9084108512104233e-25,3.677607870725536e-26
0.006,1377.0559305244515,4.880744920384353,0.27065564040749895,0.029276090104283004,0.009003012777115882,0.004218813404740893,9.99999999999963e-31,3.2859487941660288e-31,5.510430489783661e-30,1.80726024548151e-29,6.654694599631637e-07,8.666528556779589e-06,6.644400724531343e-13,2.725904006255959e-13,1.9144955889057245e-07,1.4777611110040402e-07,2.296736064711936e-12,1.8844986326595777e-12,0.07172176187816993,0.4670227071683442,0.2126313568375998,0.15494252143528625,5.396748393919399e-15,2.146430597930169e-15,7.046241109034446e-13,2.7194267644253723e-13,0.4604007113564693,0.2157746655997336,0.07492729341760931,0.02234992755062892,1.9687495669186908e-07,8.906366741470554e-08,5.6252611722136266e-05,4.911530366610682e-05,0.1593614421859526,0.1303992948610672,6.368129833321469e-06,2.7841459883051425e-06,9.566378765521544e-10,8.952830250414434e-10,2.8989013064368465e-11,2.712977600549645e-11,0.005779383551708779,0.00270435873169533,3.222124747930848e-11,1.3629570482636637e-11,1.5733493964352175e-06,7.106851724008425e-07,0.0004599126621690477,0.00020077956712391505,4.231358792824125e-14,4.266579088274389e-14,0.003097388450056656,0.0015615849938896494,2.530282367918221e-20,5.439885570187389e-21,2.2434964096096133e-23,3.872558837606584e-24,5.865762549266506e-07,2.847075668329174e-07,2.6913233585212453e-09,8.207686194645857e-10,0.002414493403375504,0.0007194955449331199,1.4850598239188342e-09,4.751498451825393e-10,2.3555329234740552e-05,7.3558868318827264e-06,2.407919134190916e-10,1.2628699323571613e-10,5.621113020283527e-09,2.3777278067840063e-09,4.6711358947389406e-06,1.913729101679391e-06,7.775756123283462e-07,2.3170996787017515e-07,8.96035976567299e-09,2.732626717444434e-09,3.842955718712546e-07,1.0950505559313188e-07,6.153468026321597e-10,1.7926549224367076e-10,8.721700937019267e-11,2.5408436429488822e-11,5.293549456106525e-13,1.542139724958339e-13,4.5959877500240424e-05,1.5058832077561374e-05,4.956610478440735e-06,1.665955835266678e-06,1.6871636223227772e-06,5.392353471861912e-07,5.1635351352897856e-05,1.610789017502029e-05,2.840452419102773e-06,8.455826223947465e-07,1.1712061356656926e-08,3.568161465779356e-09,1.1825649805346075e-08,3.602766981685393e-09,4.1136089456513256e-22,7.19177059634332e-23,3.4408448166809697e-25,5.0144571710918644e-26,1.2437675495168133e-08,2.809061856691428e-09,4.079934808346443e-11,9.377196437203443e-12,1.1097790235070166e-10,2.550681908942268e-11,8.843764373517873e-07,2.0691403495367367e-07,4.6341779489766795e-24,6.826598224336038e-25,4.578784352382962e-25,6.74499802850632e-26,2.3727113210955937e-25,2.991926283877957e-26
0.007,1372.2311641613942,4.883718526760176,0.2704908431667165,0.03297307292371121,0.009003012777115904,0.0042090415163825,9.999999999999658e-31,3.2783376671292417e-31,5.5104304897836774e-30,1.8030741524598184e-29,6.375865420800552e-07,8.284171416605578e-06,5.837196930579041e-13,2.389197098538553e-13,1.782592389005301e-07,1.3727605925317015e-07,2.0433572406762252e-12,1.672714917369456e-12,0.07223139279408887,0.46925178001268797,0.21079187561001622,0.1532463251856764,4.735762520787073e-15,1.8791761338735538e-15,6.378672897847369e-13,2.4560832977922076e-13,0.46355854634102034,0.2167514197194228,0.07469467182002318,0.022228931647276302,1.9253231365776157e-07,8.689736764543363e-08,5.322227839728255e-05,4.636182221490015e-05,0.15847714519930944,0.12937534563184352,6.335627015598595e-06,2.763519854027384e-06,8.568885389544762e-10,8.00073718205936e-10,2.5763597629030368e-11,2.405537758104506e-11,0.005418350898733885,0.0025295472824177915,2.927204846938947e-11,1.23533807459395e-11,1.4592820247579193e-06,6.576339143476384e-07,0.0004459531032387803,0.00019423443632201763,3.634391509330661e-14,3.656154582965249e-14,0.002778147921481018,0.0013973918645254681,2.0883239598527647e-20,4.479314320262433e-21,2.111793394936847e-23,3.63677945958721e-24,5.203470757064188e-07,2.519767916137138e-07,2.4394992222469534e-09,7.422469798107486e-10,0.002414493400625858,0.0007178290020183973,1.3497751349157192e-09,4.3086474382657367e-10,2.1520109782226645e-05,6.704759974946615e-06,2.0052018536861352e-10,1.0492227896409014e-10,5.110354421904951e-09,2.1566701758677466e-09,4.4019072196748635e-06,1.7992509297374591e-06,7.637748799103396e-07,2.2707030786277835e-07,8.603053296550786e-09,2.617582439987064e-09,3.601182001989883e-07,1.0237802635227671e-07,5.499906635168819e-10,1.598545340663446e-10,7.882848289030012e-11,2.291146239285016e-11,4.712705099356392e-13,1.3697455753748055e-13,4.031735995473942e-05,1.317945362576926e-05,4.187826298245564e-06,1.404301130251904e-06,1.490284180801172e-06,4.752073329137569e-07,4.729395408108639e-05,1.4719397747453449e-05,2.6874750033277824e-06,7.981892164738605e-07,1.0616251528242897e-08,3.2268238016358983e-09,1.0684068359203848e-08,3.247436817794582e-09,3.317553264057736e-22,5.786602076781905e-23,3.0045234339206566e-25,4.368449584699228e-26,1.1491163091644901e-08,2.589279671836969e-09,3.601077105681928e-11,8.257433842984086e-12,9.791992978760679e-11,2.2453485954383448e-11,7.892390018508532e-07,1.842273977472059e-07,3.69492410451087e-24,5.430377879083389e-25,3.6060888046386335e-25,5.299817890931266e-26,1.992338293381755e-25,2.5064668270559718e-26
0.008,1368.0227215369414,4.886523080569254,0.2703355986069312,0.03667217879490653,0.009003012777115899,0.004200686847250269,9.999999999999652e-31,3.271830383604955e-31,5.510430489783675e-30,1.7994951694761521e-29,6.140140107626363e-07,7.96205757639658e-06,5.212037211297113e-13,2.1290812652374055e-13,1.6747130528513985e-07,1.2871236147060699e-07,1.8442723805027055e-12,1.506745103358881e-12,0.07266978492840016,0.4711627108847458,0.20922815860638352,0.15180757094111869,4.224627388135751e-15,1.6730275001639438e-15,5.847872191633319e-13,2.2472310646945404e-13,0.46623621004564963,0.21757072341546252,0.07450216237172311,0.022127632115609704,1.8874274991210133e-07,8.501789868602613e-08,5.069635546073116e-05,4.4073838055016927e-05,0.15769409111994312,0.128480554320991,6.311982764948996e-06,2.747741599935085e-06,7.779736908897291e-10,7.249493725098798e-10,2.3230667367074128e-11,2.1647335800630823e-11,0.005119754002860755,0.0023854035780658104,2.694165007656974e-11,1.1347338231403684e-11,1.3658184838775284e-06,6.142922725238948e-07,0.0004340000716818905,0.0001886530964734709,3.180096050760371e-14,3.1927886820979173e-14,0.00252532458302924,0.0012677019213604493,1.765062972813408e-20,3.778426419978979e-21,2.0041096818683367e-23,3.4444836047007386e-24,4.6840245011818437e-07,2.2637250629914498e-07,2.242620303326388e-09,6.80989792612731e-10,0.0024144933981661656,0.0007164041581783303,1.2418720517770975e-09,3.9563388999632775e-10,1.9921834455535098e-05,6.194484591163415e-06,1.7078238178905883e-10,8.91845820199331e-11,4.7035988211695675e-09,1.9810711881771394e-09,4.179699867054841e-06,1.705034009500764e-06,7.521808379860184e-07,2.231795209895868e-07,8.299414032349386e-09,2.520184193603209e-09,3.402083788447614e-07,9.652588339429879e-08,4.984696957153478e-10,1.445924112095305e-10,7.216134607147916e-11,2.0932030802046792e-11,4.2568203250319263e-13,1.2347870295280464e-13,3.594435040539592e-05,1.1726625533817787e-05,3.6129364128487665e-06,1.2091188760713533e-06,1.336605664866681e-06,4.2535783521320076e-07,4.378515612113539e-05,1.3600297725133643e-05,2.559672147457978e-06,7.587223246697503e-07,9.738439795403316e-09,2.9541363278326175e-09,9.772772876501612e-09,2.9645511996447094e-09,2.7479384114858566e-22,4.7835443693268637e-23,2.6757938066053827e-25,3.882768288535654e-26,1.0717800623785939e-08,2.4102258753125243e-09,3.226821026548484e-11,7.384560587765694e-12,8.773281849788777e-11,2.0077602953581984e-11,7.142540387623105e-07,1.6639316447231172e-07,3.030174121626453e-24,4.4445644855141915e-25,2.92509298340598e-25,4.2904347634962904e-26,1.7098184567757468e-25,2.146772271209244e-26
0.009000000000000001,1364.2945031040867,4.889164978378812,0.27018952069199814,0.040373284587014384,0.0090030127771159,0.004193410174402536,9.999999999999652e-31,3.2661627296758466e-31,5.5104304897836774e-30,1.796377979808009e-29,5.937062326361735e-07,7.685385884725515e-06,4.713216272135827e-13,1.921981206424916e-13,1.5843985348966904e-07,1.2156017673494972e-07,1.6834501169077413e-12,1.3729730612104037e-12,0.0730536375935901,0.4728309762697805,0.20787255367829693,0.15056273224811229,3.8173000841111264e-15,1.5090999646893632e-15,5.414297654750359e-13,2.0770120815909257e-13,0.4685522365658613,0.21827274432884797,0.07433936030219888,0.02204103182594796,1.8538905667158938e-07,8.336259409418865e-08,4.8546890665619334e-05,4.213204985102296e-05,0.15699196419490974,0.127686929049217,6.294445727220028e-06,2.7353607784142257e-06,7.138418428416085e-10,6.640362778769519e-10,2.1185616808995935e-11,1.970747200020123e-11,0.004867436914696151,0.0022639151263320356,2.504849269615733e-11,1.0531699131552638e-11,1.2874971184797593e-06,5.780632625511121e-07,0.0004235877611677525,0.00018380807117727356,2.8233916938628532e-14,2.8297502575833222e-14,0.0023196719550186797,0.0011624480454644579,1.5198741332605474e-20,3.2479207681259985e-21,1.913891542507063e-23,3.2837266430409233e-24,4.2651358529688114e-07,2.0577112290573772e-07,2.084020410425248e-09,6.317334282889465e-10,0.002414493395937741,0.0007151631607776558,1.153477212503452e-09,3.668366253779553e-10,1.8629330808939148e-05,5.782559929062727e-06,1.4804129719908945e-10,7.717499938559209e-11,4.370915245943753e-09,1.837761850910012e-09,3.9921638815033115e-06,1.625711011725108e-06,7.42234538723766e-07,2.198468629672414e-07,8.036733814229305e-09,2.4361917855078943e-09,3.2344162283319746e-07,9.160975558458348e-08,4.567234849520499e-10,1.32253483747605e-10,6.671976718469659e-11,1.9320052363700234e-11,3.8888658413144713e-13,1.1260994283989933e-13,3.245412470351472e-05,1.0569619564728524e-05,3.1683063909058982e-06,1.0584805791390312e-06,1.2131870605644614e-06,3.854126339336401e-07,4.087963714394494e-05,1.267580597496991e-05,2.4507313159488093e-06,7.251723859215791e-07,9.017321788228962e-09,2.7306482207315707e-09,9.02640883461921e-09,2.7333999831328668e-09,2.3241564275428185e-22,4.038826566622829e-23,2.419160937682203e-25,3.5042947557143267e-26,1.0071445334655333e-08,2.2609497393013254e-09,2.926020011409275e-11,6.684579757452598e-12,7.955627438569836e-11,1.8174867542373712e-11,6.535176840721698e-07,1.5198025123134275e-07,2.540348976551104e-24,3.7196497323191457e-25,2.4281618612077627e-25,3.5553822330863996e-26,1.4925742835809532e-25,1.8707638473404838e-26
