case,H2_red,H2_base,H2_err_%,CO_red,CO_base,CO_err_%,CO2_red,CO2_base,CO2_err_%,CH4_red,CH4_base,CH4_err_%,H2/CO_red,H2/CO_base,H2/CO_err_%,T_out_red_K,T_out_base_K,dT_out_K
A_case1_richter,0.5578152746513916,0.5579491318507269,-0.02399093245137498,0.2442332477985607,0.24426320070685806,-0.012262554576651291,0.02661530186551187,0.026606244345422973,0.034042835852016805,0.16546497027270937,0.16531578116907164,0.09024492554957758,2.283944875152575,2.2842128091178395,-0.011729816249834239,1436.7324994151545,1436.2684608383051,0.46403857684936156
A_case4_richter,0.6008275124193497,0.6009373749115956,-0.01828185378917949,0.26998217438048283,0.2700017722247731,-0.0072584132055147025,0.023607286130768953,0.02359962067742372,0.03248125658462973,0.10008929210437678,0.09997054540948692,0.11878168154776134,2.2254340079971735,2.2256793722499078,-0.01102424076861587,1453.1372212396896,1452.6745675681846,0.46265367150499515
B_case1_134L,0.5425890637391958,0.53720281280259,1.0026475677790534,0.240631713039092,0.23645836547952429,1.7649396971447404,0.027704005621955692,0.02752969862017606,0.6331598619531702,0.18233688391498673,0.19290538515991823,-5.478593164296699,2.254852682909044,2.2718706175320666,-0.7490714696380543,1487.4963365481512,1484.5361553273196,2.9601812208316005
B_case4_134L,0.5885998325571598,0.583934263200203,0.7989887990794475,0.2677190071832771,0.2640600693037589,1.3856460346941688,0.02449003488463353,0.024399003703693405,0.37309384450950334,0.11326409740964524,0.12248695483648883,-7.529665048131397,2.198573193401287,2.211369044702022,-0.578639342510066,1502.8907216248572,1498.9849695072294,3.9057521176277987
