time,tau_pv_full,tau_pv_red,tau_spts_full,tau_spts_red
0.0,699.6321628502105,699.6902850038697,3.2861318120282204,3.2852774823668374
1e-12,699.5954869958598,699.6536053114902,3.2330293132041823,3.2321887891481604
1.0190865996862289e-12,699.5949612464267,699.6530795070256,3.2861315936775,3.2852772640726866
1.03853749766004e-12,699.594603018826,699.6527212419493,3.281963727901618,3.2811104818600523
1.0583596471370194e-12,699.5942379542835,699.6523561391857,3.2819637257669845,3.2811104797259216
1.0785601340459822e-12,699.5938659222577,699.6519840682238,3.250790500871461,3.249945359255923
1.099146179562043e-12,699.5934867897852,699.6516048961189,3.3170011046248913,3.3161387495541566
1.1201251426879916e-12,699.5931004214555,699.6512184873326,3.315758117314579,3.3148960853961116
1.141504522884962e-12,699.5927066790331,699.6508247037287,3.2902774292252346,3.289422021784721
1.163291962753287e-12,699.5923054218945,699.6504234046029,3.258371506989627,3.2575243944616172
1.1854952507645663e-12,699.5918965066353,699.6500144465135,3.3106213766917993,3.2831965865609347
1.208122324045835e-12,699.5914797870303,699.6495976833043,3.3136395181041536,3.3127780369798123
1.2311812712168995e-12,699.591055114176,699.6491729660379,3.282844048053475,3.281990573145934
1.2546803352817987e-12,699.5906223362975,699.648740142872,3.31151531112796,3.310654382255738
1.278627916575506e-12,699.5901812987034,699.6482990591063,3.282844042939764,3.281990568033548
1.3030325757668195e-12,699.589731843779,699.6478495571681,3.311515305778974,3.310654376908088
1.3279030369185964e-12,699.5892738108839,699.6473914763452,3.299438489772612,3.298580700636428
1.3532481906063947e-12,699.5888070363044,699.6469246529027,3.2849229414052066,3.284068926026274
1.3790770970966126e-12,699.5883313532602,699.6464489200615,3.269587181742819,3.2687371533598695
1.4053989895853422e-12,699.5878465916817,699.6459641077706,3.254308224061992,3.2534621679075695
1.432223277498988e-12,699.5873525783495,699.6454700427189,3.2840503484687575,3.2831965599467385
1.4595595498579158e-12,699.5868491367028,699.644966548408,3.2728349898438998,3.2719841170946307
1.4874175787042662e-12,699.5863360867928,699.6444534448331,3.2431122606434,3.242269115219374
1.5158073225952543e-12,699.5858132452863,699.6439305485978,3.254308212470021,3.2534621563186614
1.5447389301630844e-12,699.5852804253298,699.6433976728766,3.282844014258936,3.2687371357251664
1.5742227437428406e-12,699.5847374364798,699.6428546272246,3.2861315336662944,3.285277204077091
1.6042693030696236e-12,699.5841840847003,699.6423012175336,3.256342527002291,3.2687371293882075
1.6348893490462189e-12,699.5836201721964,699.6417372459994,3.2728349711195515,3.271984098375178
1.6660938275827432e-12,699.5830454974603,699.6411625111361,3.286131523734849,3.2852771941482013
1.697893893509512e-12,699.5824598551296,699.6405768075241,3.2707789093026522,3.2699285710939283
1.7303009145646276e-12,699.5818630358727,699.639979925809,3.284922900690118,3.2840688853216995
1.7633264754576384e-12,699.5812548264057,699.6393716526993,3.28492289712394,3.284068881756453
1.796982382010827e-12,699.5806350093827,699.6387517708116,3.2695871372453915,3.268737108873966
1.8312806653794737e-12,699.5800033632752,699.6381200586088,3.2869962956670276,3.286141741256683
1.86623358635271e-12,699.5793596623836,699.6374762903602,3.272834946413155,3.2719840736751924
1.9018536397364194e-12,699.5787036766421,699.6368202359756,3.2861314982487557,3.2852771686687507
1.938153558819866e-12,699.578035171642,699.6361516610182,3.2849228782456437,3.2840688628830583
1.9751463199275007e-12,699.5773539084656,699.635470326545,3.27283493478185,3.2719840620469216
2.012845147057685e-12,699.5766596436473,699.6347759890758,3.271640921222149,3.270790358907259
2.0512635166099518e-12,699.5759521290811,699.6340684004748,3.284922866031706,3.2840688506722993
2.090415162202452e-12,699.5752311119553,699.6333473078963,3.2840502774520903,3.283196488948571
2.130314079581433e-12,699.5744963345877,699.6326124536458,3.2861314735517766,3.28527714397819
2.1709745316243412e-12,699.5737475344217,699.6318635751171,3.283748563593047,3.282894853529187
2.2124110534384622e-12,699.5729844438551,699.6311004046905,3.2660427978413353,3.2651936909284545
2.25463845755683e-12,699.572206790173,699.6303226696301,3.284050259732958,3.283196471234044
2.297671839233394e-12,699.5714142955052,699.6295300920398,3.299132417874573,3.298274708311063
2.3415265818391625e-12,699.5706066766788,699.6287223886987,3.2704807781673635,3.2696305174668283
2.3862183623613905e-12,699.5697836450619,699.6278992709556,3.2738608701567187,3.2730097306987385
2.431763157007721e-12,699.5689449065625,699.6270604446947,3.2991324032063534,3.298274693646651
2.4781772469172476e-12,699.5680901614758,699.6262056101579,3.2837485304560534,3.2828948204007915
2.5254772239806775e-12,699.567219104352,699.6253344618888,3.25620799198635,3.25536144192961
2.5736799967714854e-12,699.5663314239418,699.6244466885868,3.285829146558732,3.2849748955841958
2.622802796590328e-12,699.5654268030571,699.6235419730232,3.3012328286010275,3.3003745729720033
2.6728631836247693e-12,699.5645049184392,699.6226199919346,3.2784480851355298,3.2775957530918287
2.7238790532266746e-12,699.5635654406569,699.6216804158479,3.279181248260666,3.2783287256089846
2.775868642309316e-12,699.562608034055,699.6207229090652,3.2861314037661136,3.2852770742106405
2.8288505358666413e-12,699.5616323565275,699.6197471294297,3.2760771458374465,3.275225430191345
2.882843673616902e-12,699.5606380593972,699.618752728268,3.2648735053385307,3.2640247024186917
2.937867356773205e-12,699.5596247874411,699.6177393502718,3.278147892771073,3.2772956387714967
2.9939412549431744e-12,699.5585921785903,699.6167066333637,3.2784480506692586,3.277595718634508
3.05108541316036e-12,699.5575398638797,699.6156542085396,3.280213174252203,3.2793603833200375
3.1093202590498572e-12,699.556467467319,699.6145816997513,3.2861313677193498,3.2852770381732435
