generation,fitness
0,-121.82875232879245
1,-53.76966490901054
2,-44.97685876410848
3,-32.79128204503208
4,-18.562531855749224
5,-18.562531855749224
6,-18.562531855749224
7,-18.562531855749224
8,-18.251110794990936
9,-18.251110794990936
10,-14.54490509171154
11,-14.54490509171154
12,-14.54490509171154
13,-14.141670589791874
14,-14.141670589791874
15,-14.141670589791874
16,-14.141670589791874
17,-14.141670589791874
18,-14.141670589791874
19,-14.141670589791874
20,-14.141670589791874
21,-14.141670589791874
22,-14.141670589791874
23,-14.141670589791874
24,-14.141670589791874
25,-14.141670589791874
26,-14.141670589791874
27,-14.141670589791874
28,-14.141670589791874
29,-14.141670589791874
30,-14.141670589791874
31,-14.141670589791874
32,-14.141670589791874
33,-14.141670589791874
34,-14.141670589791874
35,-14.141670589791874
36,-14.141670589791874
37,-14.141670589791874
38,-14.141670589791874
39,-14.141670589791874
40,-14.141670589791874
41,-14.141670589791874
42,-14.141670589791874
43,-14.141670589791874
44,-14.141670589791874
45,-14.141670589791874
46,-14.141670589791874
47,-14.141670589791874
48,-14.141670589791874
49,-14.141670589791874
50,-14.141670589791874
51,-14.141670589791874
52,-14.141670589791874
53,-14.141670589791874
54,-14.141670589791874
55,-14.141670589791874
56,-14.141670589791874
57,-14.141670589791874
58,-14.141670589791874
59,-14.141670589791874
60,-14.141670589791874
61,-14.141670589791874
62,-14.141670589791874
63,-14.141670589791874
64,-14.141670589791874
65,-14.141670589791874
66,-14.141670589791874
67,-14.141670589791874
68,-14.141670589791874
69,-14.141670589791874
70,-14.141670589791874
71,-14.141670589791874
72,-14.141670589791874
73,-14.141670589791874
74,-14.141670589791874
75,-14.141670589791874
76,-14.141670589791874
77,-14.141670589791874
78,-14.141670589791874
79,-14.141670589791874
80,-14.141670589791874
81,-14.141670589791874
82,-14.141670589791874
83,-14.141670589791874
84,-14.141670589791874
85,-14.141670589791874
86,-14.141670589791874
87,-14.141670589791874
88,-14.141670589791874
89,-14.141670589791874
90,-14.141670589791874
91,-14.141670589791874
92,-14.141670589791874
93,-14.141670589791874
94,-14.141670589791874
95,-14.141670589791874
96,-14.141670589791874
97,-14.141670589791874
98,-14.141670589791874
99,-14.141670589791874
100,-14.141670589791874
101,-14.141670589791874
102,-14.141670589791874
103,-14.141670589791874
104,-14.141670589791874
105,-14.141670589791874
106,-14.141670589791874
107,-14.141670589791874
108,-14.141670589791874
109,-14.141670589791874
110,-11.285839793433018
111,-11.285839793433018
112,-11.285839793433018
113,-11.285839793433018
114,-11.285839793433018
115,-11.285839793433018
116,-11.285839793433018
117,-11.285839793433018
118,-11.285839793433018
119,-11.285839793433018
