generation,individual,pv_error,delay_diff,size_penalty,tau_mismatch,pen_species,reason,keep_count,delta_T,delta_Y,delay_red,fitness
0,0,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",28,0.0,0.0,0.0,-1000000.0
0,1,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",30,0.0,0.0,0.0,-1000000.0
0,2,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",26,0.0,0.0,0.0,-1000000.0
0,3,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",23,0.0,0.0,0.0,-1000000.0
0,4,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",28,0.0,0.0,0.0,-1000000.0
0,5,0.9993155143743113,2.7376570214782796,0.32830188679245276,129.87001427465822,0.04916847278837623,,27,7.362215149948952,0.0020262429042540164,0.007,-165.03288538933185
0,6,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",28,0.0,0.0,0.0,-1000000.0
0,7,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.22e-06, max|ΔY|=1.43e-10",29,0.0,0.0,0.0,-1000000.0
0,8,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",26,0.0,0.0,0.0,-1000000.0
0,9,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",26,0.0,0.0,0.0,-1000000.0
0,10,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",25,0.0,0.0,0.0,-1000000.0
0,11,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",26,0.0,0.0,0.0,-1000000.0
0,12,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",28,0.0,0.0,0.0,-1000000.0
0,13,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",27,0.0,0.0,0.0,-1000000.0
0,14,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",27,0.0,0.0,0.0,-1000000.0
0,15,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.22e-06, max|ΔY|=1.43e-10",27,0.0,0.0,0.0,-1000000.0
0,16,0.9999845373606007,2.7376570214782796,0.44150943396226405,172.13592875966617,0.049173212647563254,,29,1.4060473303536583,0.000588725019239407,0.007,-207.41277124167968
0,17,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",21,0.0,0.0,0.0,-1000000.0
0,18,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",25,0.0,0.0,0.0,-1000000.0
0,19,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",27,0.0,0.0,0.0,-1000000.0
0,20,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",28,0.0,0.0,0.0,-1000000.0
0,21,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",24,0.0,0.0,0.0,-1000000.0
0,22,0.9999569365603679,2.7376570214782796,0.4981132075471697,131.5606222503481,0.049110985748001684,,30,14.521161387891425,0.002424521605449509,0.007,-166.892796367155
0,23,0.9999987660915128,2.7376570214782796,0.44150943396226405,172.8751386749238,0.04917396915477722,,29,1.3370320135131806,0.0005848362867310886,0.007,-208.1520105158125
