time,tau_pv_full,tau_pv_red,tau_spts_full,tau_spts_red
0.0,699.6321628502105,699.6906243873336,3.2861318120282204,3.2849210249558247
1e-12,699.5954869958598,699.6539468871687,3.2330293132041823,3.231838082627614
1.0190865996862289e-12,699.5949612464267,699.6534211141151,3.2861315936775,3.284920806701561
1.03853749766004e-12,699.594603018826,699.6530628704562,3.281963727901618,3.276566470344691
1.0583596471370194e-12,699.5942379542835,699.6526977895409,3.2819637257669845,3.280754473708657
1.0785601340459822e-12,699.5938659222577,699.6523257408129,3.250790500871461,3.2536413164313824
1.099146179562043e-12,699.5934867897852,699.6519465913601,3.3170011046248913,3.3157789493014778
1.1201251426879916e-12,699.5931004214555,699.6515602056909,3.315758117314579,3.314536419744576
1.141504522884962e-12,699.5927066790331,699.6511664456573,3.2902774292252346,3.28906511544981
1.163291962753287e-12,699.5923054218945,699.6507651705398,3.258371506989627,3.257170943385703
1.1854952507645663e-12,699.5918965066353,699.6503562369036,3.3106213766917993,3.309401570825529
1.208122324045835e-12,699.5914797870303,699.6499394986322,3.3136395181041536,3.312418600749093
1.2311812712168995e-12,699.591055114176,699.6495148067731,3.282844048053475,3.2816344717964743
1.2546803352817987e-12,699.5906223362975,699.6490820094472,3.31151531112796,3.3102951760534567
1.278627916575506e-12,699.5901812987034,699.648640952078,3.282844042939764,3.28163446668507
1.3030325757668195e-12,699.589731843779,699.6481914770308,3.311515305778974,3.310295170706821
1.3279030369185964e-12,699.5892738108839,699.647733423593,3.299438489772612,3.2982228022349043
1.3532481906063947e-12,699.5888070363044,699.6472666280808,3.2849229414052066,3.283712599546846
1.3790770970966126e-12,699.5883313532602,699.6467909237005,3.269587181742819,3.2683824876627248
1.4053989895853422e-12,699.5878465916817,699.6463061404085,3.254308224061992,3.2531091568796517
1.432223277498988e-12,699.5873525783495,699.6458121048936,3.2840503484687575,3.2828403279642413
1.4595595498579158e-12,699.5868491367028,699.6453086406723,3.2728349898438998,3.2716290996744646
1.4874175787042662e-12,699.5863360867928,699.6447955677916,3.2431122606434,3.241917316708147
1.5158073225952543e-12,699.5858132452863,699.6442727028478,3.254308212470021,3.2531091452928345
1.5447389301630844e-12,699.5852804253298,699.643739858994,3.282844014258936,3.2816344380168925
1.5742227437428406e-12,699.5847374364798,699.643196845811,3.2861315336662944,3.2849207467169386
1.6042693030696236e-12,699.5841840847003,699.6426434692063,3.256342527002291,3.2551427106311794
1.6348893490462189e-12,699.5836201721964,699.6420795314127,3.2728349711195515,3.2716290809583857
1.6660938275827432e-12,699.5830454974603,699.6415048309159,3.286131523734849,3.284920736789892
1.697893893509512e-12,699.5824598551296,699.6409191623262,3.2707789093026522,3.2695737763401995
1.7303009145646276e-12,699.5818630358727,699.6403223163121,3.284922900690118,3.283712558849752
1.7633264754576384e-12,699.5812548264057,699.6397140795794,3.28492289712394,3.2837125552851445
1.796982382010827e-12,699.5806350093827,699.639094234768,3.2695871372453915,3.2683824431850197
1.8312806653794737e-12,699.5800033632752,699.6384625603489,3.2869962956670276,3.2857851902507464
1.86623358635271e-12,699.5793596623836,699.6378188305816,3.272834946413155,3.271629056262925
1.9018536397364194e-12,699.5787036766421,699.6371628154327,3.2861314982487557,3.2849207113150984
1.938153558819866e-12,699.578035171642,699.6364942804626,3.2849228782456437,3.2837125364152393
1.9751463199275007e-12,699.5773539084656,699.6358129867448,3.27283493478185,3.271629044636792
2.012845147057685e-12,699.5766596436473,699.6351186907896,3.271640921222149,3.270435470803785
2.0512635166099518e-12,699.5759521290811,699.6344111445106,3.284922866031706,3.283712524206701
2.090415162202452e-12,699.5752311119553,699.6336900950603,3.2840502774520903,3.2828402569789894
2.130314079581433e-12,699.5744963345877,699.6329552847424,3.2861314735517766,3.2849206866290124
2.1709745316243412e-12,699.5737475344217,699.6322064509965,3.283748563593047,3.282538654233954
2.2124110534384622e-12,699.5729844438551,699.6314433262164,3.2660427978413353,3.264839409081554
2.25463845755683e-12,699.572206790173,699.6306656376755,3.284050259732958,3.2828402392676908
2.297671839233394e-12,699.5714142955052,699.629873107484,3.299132417874573,3.297916843062318
2.3415265818391625e-12,699.5706066766788,699.6290654524415,3.2704807781673635,3.2692757550045477
2.3862183623613905e-12,699.5697836450619,699.6282423839178,3.2738608701567187,3.2726546021878162
2.431763157007721e-12,699.5689449065625,699.627403607811,3.2991324032063534,3.297916828400565
2.4781772469172476e-12,699.5680901614758,699.6265488244095,3.2837485304560534,3.2825386211116365
2.5254772239806775e-12,699.567219104352,699.6256777282308,3.25620799198635,3.2550082251687766
2.5736799967714854e-12,699.5663314239418,699.6247900080139,3.285829146558732,3.2846184709785913
2.622802796590328e-12,699.5654268030571,699.6238853465627,3.3012328286010275,3.300016480270412
2.6728631836247693e-12,699.5645049184392,699.6229634206097,3.2784480851355298,3.277240127811176
2.7238790532266746e-12,699.5635654406569,699.622023900711,3.279181248260666,3.277973020931198
2.775868642309316e-12,699.562608034055,699.6210664511832,3.2861314037661136,3.2849206168742393
2.8288505358666413e-12,699.5616323565275,699.6200907298993,3.2760771458374465,3.2748700616721718
2.882843673616902e-12,699.5606380593972,699.6190963882075,3.2648735053385307,3.263670547207565
2.937867356773205e-12,699.5596247874411,699.6180830708076,3.278147892771073,3.2769400460021454
2.9939412549431744e-12,699.5585921785903,699.6170504156521,3.2784480506692586,3.2772400933601604
3.05108541316036e-12,699.5575398638797,699.6159980537702,3.280213174252203,3.279004566893161
3.1093202590498572e-12,699.556467467319,699.614925609122,3.2861313677193498,3.28492058084343
