generation,fitness
0,-165.03288538933185
1,-24.021517087946755
2,-19.43353846553429
3,-19.43353846553429
4,-19.43353846553429
5,-19.43353846553429
6,-17.942968640469452
7,-17.942968640469452
8,-17.942968640469452
9,-17.942968640469452
10,-16.396111381136357
11,-16.396111381136357
12,-16.396111381136357
13,-16.396111381136357
14,-16.396111381136357
15,-16.396111381136357
16,-16.396111381136357
17,-16.396111381136357
18,-16.396111381136357
19,-16.396111381136357
20,-16.396111381136357
21,-16.396111381136357
22,-16.396111381136357
23,-16.396111381136357
24,-16.396111381136357
25,-16.396111381136357
26,-16.396111381136357
27,-16.396111381136357
28,-16.396111381136357
29,-16.396111381136357
30,-16.396111381136357
31,-16.396111381136357
32,-16.396111381136357
33,-15.854035315179795
34,-15.854035315179795
35,-15.854035315179795
36,-15.854035315179795
37,-15.854035315179795
38,-15.854035315179795
39,-15.854035315179795
40,-15.854035315179795
41,-15.854035315179795
42,-15.854035315179795
43,-15.854035315179795
44,-15.854035315179795
45,-15.854035315179795
46,-15.854035315179795
47,-15.854035315179795
48,-15.854035315179795
49,-15.854035315179795
50,-15.854035315179795
51,-15.854035315179795
52,-15.854035315179795
53,-15.854035315179795
54,-15.854035315179795
55,-15.854035315179795
56,-15.854035315179795
57,-15.854035315179795
58,-15.854035315179795
59,-15.854035315179795
60,-15.854035315179795
61,-15.854035315179795
62,-15.854035315179795
63,-15.854035315179795
64,-15.854035315179795
65,-15.854035315179795
66,-15.854035315179795
67,-15.854035315179795
68,-15.854035315179795
69,-15.854035315179795
70,-15.854035315179795
71,-15.854035315179795
72,-15.854035315179795
73,-15.854035315179795
74,-15.854035315179795
75,-15.854035315179795
76,-15.854035315179795
77,-15.854035315179795
78,-15.854035315179795
79,-15.854035315179795
80,-15.854035315179795
81,-15.854035315179795
82,-15.854035315179795
83,-15.854035315179795
84,-15.854035315179795
85,-15.854035315179795
86,-15.854035315179795
87,-15.854035315179795
88,-15.854035315179795
89,-15.854035315179795
90,-15.854035315179795
91,-15.854035315179795
92,-15.854035315179795
93,-15.854035315179795
94,-15.854035315179795
95,-15.854035315179795
96,-15.854035315179795
97,-15.854035315179795
98,-15.854035315179795
99,-15.854035315179795
100,-15.854035315179795
101,-15.854035315179795
102,-12.731627152304089
103,-12.519417060164155
104,-12.519417060164155
105,-12.519417060164155
106,-12.519417060164155
107,-6.405202592651817
108,-6.405202592651817
109,-6.405202592651817
110,-6.405202592651817
111,-6.405202592651817
112,-6.405202592651817
113,-6.405202592651817
114,-6.405202592651817
115,-6.405202592651817
116,-6.405202592651817
117,-6.405202592651817
118,-6.405202592651817
119,-6.405202592651817
