cell,z,T,p,u,dz,dt_try,used_fallback,substeps,halvings,dt_min,dt_effective,X_H2,X_CO,X_CO2,X_CH4,X_H2O,X_O2,X_N2,X_O,X_OH,X_H,X_HO2,X_H2O2,H2_CO
14,0.014,1763.6969950028233,5100000.0,0.18268339513386753,0.0009999999999999992,0.005473951254667753,0,55,0,1e-08,0.005473951254667753,0.4766093055518107,0.2566791477859535,0.0314562992091173,0.014017381317193423,0.21451289778576957,5.783054936621888e-12,0.006281011891631708,2.8909195843306234e-11,6.937615230472027e-07,2.5457133588742262e-05,4.5118831879236935e-14,2.8220726331509176e-12,1.8568290788827864
15,0.015,1761.391730364816,5100000.0,0.18259007434218888,0.0010000000000000009,0.005476748961314942,0,55,0,1e-08,0.005476748961314942,0.47744394718560795,0.2569050820768287,0.03142065018801281,0.013614017389762867,0.21391624323112965,5.482242556454004e-12,0.00627581274153119,2.75178743663944e-11,6.736897358395077e-07,2.4971368529066545e-05,4.2773687929277694e-14,2.7130053322702517e-12,1.8584449296445837
16,0.016,1759.2415745704818,5100000.0,0.1825024822197651,0.0010000000000000009,0.005479377528661912,0,55,0,1e-08,0.005479377528661912,0.47821938733316127,0.2571135746959578,0.03138789605695768,0.013238224218350456,0.21336286017527473,5.2153569572747e-12,0.006270985536790026,2.6277811810366585e-11,6.554607570782499e-07,2.4525397343983386e-05,4.0693001587644164e-14,2.6149492057842404e-12,1.8599538662968913
17,0.017,1757.2286934842855,5100000.0,0.1824200092593007,0.0010000000000000009,0.005481854781503448,0,55,0,1e-08,0.005481854781503448,0.47894271005329436,0.257306868222528,0.031357660185084645,0.01288683246964565,0.21284745163653876,4.97693126660672e-12,0.006266485484826919,2.5165288095272436e-11,6.388156354443859e-07,2.4114043565035893e-05,3.883414927434971e-14,2.5262550806299946e-12,1.8613677643423334
18,0.018000000000000002,1755.338083690661,5100000.0,0.1823421347375889,0.0009999999999999974,0.005484195967317764,0,55,0,1e-08,0.005484195967317764,0.47961983341492437,0.2574868120473082,0.03132963201235682,0.012557173659873824,0.21236561173315596,4.762612751032013e-12,0.006262275205234782,2.4161311110954836e-11,6.235430620216289e-07,2.37330283239887e-05,3.716319783045027e-14,2.445592196127155e-12,1.8626966934788236
19,0.019,1753.5570118500116,5100000.0,0.18226841083690695,0.0010000000000000009,0.005486414214116328,0,55,0,1e-08,0.005486414214116328,0.48025574847973995,0.25765494764586117,0.03130355278299754,0.012246981615942778,0.2119136392072844,4.5688933062300984e-12,0.006258323203455141,2.32504947182542e-11,6.094687506962e-07,2.337877982988169e-05,3.565280109527446e-14,2.371874398137043e-12,1.863949257981402
20,0.02,1751.8745851054057,5100000.0,0.1821984500380788,0.0010000000000000009,0.005488520894612466,0,55,0,1e-08,0.005488520894612466,0.480854700558565,0.2578125721761861,0.03127920488121503,0.01195431678352662,0.21148839688740997,4.392914407233752e-12,0.006254602714676571,2.2420241494195686e-11,5.964475594208465e-07,2.3048289990724522e-05,3.4280678008683974e-14,2.3042060218994957e-12,1.8651328618293856
21,0.021,1750.2814174699122,5100000.0,0.18213191504511353,0.0009999999999999974,0.005490525917724526,0,55,0,1e-08,0.005490525917724526,0.4814203286713823,0.2579607866608033,0.031256403736330096,0.011677507324537482,0.2110872041792016,4.232323602810697e-12,0.006251090815410742,2.1660137861404795e-11,5.843575557947724e-07,2.2739004967036565e-05,3.3028493130491855e-14,2.2418415780603265e-12,1.8662539175165778
22,0.022,1748.769367811522,5100000.0,0.1820685106694919,0.0010000000000000009,0.005492437963725074,0,55,0,1e-08,0.005492437963725074,0.481955774165753,0.25810053298305036,0.03123499159803171,0.011415102773162449,0.2107077537687529,4.085167374365392e-12,0.006247767732330733,2.0961500008674864e-11,5.730954874165651e-07,2.2448740591287334e-05,3.188102099106764e-14,2.184155298608855e-12,1.8673180120763384
23,0.023,1747.3313320669222,5100000.0,0.18200797725040171,0.0010000000000000009,0.00549426467513689,0,55,0,1e-08,0.00549426467513689,0.48246376621297227,0.2582326226335818,0.031214832693777318,0.011165837227739716,0.21034804636513396,3.94981008135128e-12,0.006244616298803338,2.031702862305397e-11,5.625732832520719e-07,2.2175616285736145e-05,3.0825514001496406e-14,2.1306178407258303e-12,1.8683300401497387
