cell,z,T,p,u,dz,dt_try,used_fallback,substeps,halvings,dt_min,dt_effective,X_H2,X_CO,X_CO2,X_CH4,X_H2O,X_O2,X_N2,X_O,X_OH,X_H,X_HO2,X_H2O2,H2_CO
13,0.013000000000000001,2068.921224001716,5100000.0,0.19538346618738048,0.0009999999999999992,0.005118140339679303,0,52,0,1e-08,0.005118140339679303,0.442435461463856,0.2628656299954048,0.03152264615887732,6.812501898459927e-06,0.2560610313728919,1.5168478060882442e-09,0.006719589239231089,6.121877290888098e-09,1.5693602852695278e-05,0.0002404453450810562,1.2423418386015376e-11,1.6496514558587668e-10,1.6831240412510007
14,0.014,2068.8992178658177,5100000.0,0.195381394793856,0.0009999999999999992,0.005118194601154753,0,52,0,1e-08,0.005118194601154753,0.4424359218166478,0.26286524537929473,0.03152302731945076,6.813459672295484e-06,0.2560606379934446,1.5163684337730998e-09,0.006719616675195736,6.1199432404357064e-09,1.56907722080639e-05,0.00024041170075045078,1.2419433079666072e-11,1.6492756114134392e-10,1.683128255233004
15,0.015,2068.877211759956,5100000.0,0.1953793233887026,0.0010000000000000009,0.005118248864085399,0,52,0,1e-08,0.005118248864085399,0.4424363821079327,0.2628648607528914,0.03152340850146841,6.814417599156604e-06,0.256060244621359,1.5158892041268378e-09,0.006719644073807559,6.1180097640998605e-09,1.5687942019799098e-05,0.00024037806045003695,1.2415448977441801e-11,1.6488998456673983e-10,1.6831324690592602
16,0.016,2068.855205683952,5100000.0,0.19537725197193404,0.0010000000000000009,0.005118303128470918,0,52,0,1e-08,0.005118303128470918,0.44243684233785846,0.2628644761161847,0.031523789704917524,6.815375677456912e-06,0.25605985125658925,1.5154101171043785e-09,0.0067196714351391825,6.116076861702896e-09,1.568511228780882e-05,0.00024034442417919188,1.2411466078959867e-11,1.648524158601614e-10,1.6831366827303957
17,0.017,2068.83319963763,5100000.0,0.19537518054356276,0.0010000000000000009,0.00511835739431105,0,52,0,1e-08,0.00511835739431105,0.44243730250656965,0.2628640914691632,0.0315241709297866,6.816333906589189e-06,0.25605945789908746,1.5149311726606334e-09,0.0067196987592629915,6.114144533067427e-09,1.5682283012000797e-05,0.00024031079193729624,1.2407484383837477e-11,1.6481485501969637e-10,1.683140896247034
18,0.018000000000000002,2068.811193620838,5100000.0,0.19537310910360176,0.0009999999999999974,0.005118411661605492,0,52,0,1e-08,0.005118411661605492,0.4424377626142041,0.26286370681181537,0.03152455217606337,6.817292288570933e-06,0.25605906454881316,1.514452370751106e-09,0.006719726046251394,6.112212778017889e-09,1.5679454192286276e-05,0.00024027716372375298,1.2403503891696823e-11,1.647773020434966e-10,1.6831451096097725
19,0.019,2068.7891876333974,5100000.0,0.1953710376520645,0.0010000000000000009,0.005118465930354,0,52,0,1e-08,0.005118465930354,0.44243822266091287,0.26286332214413427,0.031524933443735234,6.818250819511722e-06,0.25605867120571424,1.5139737113308003e-09,0.006719753296176287,6.11028159637723e-09,1.5676625828573155e-05,0.00024024353953794883,1.2399524602156121e-11,1.647397569296464e-10,1.6831493228192307
20,0.02,2068.7671816751576,5100000.0,0.195368966188964,0.0010000000000000009,0.005118520200556238,0,52,0,1e-08,0.005118520200556238,0.4424386826468274,0.26286293746610573,0.03152531473279122,6.819209503922928e-06,0.2560582778697529,1.513495194355187e-09,0.006719780509109732,6.108350987969725e-09,1.567379792077222e-05,0.00024020991937928165,1.2395546514836467e-11,1.6470221967628765e-10,1.6831535358759988
21,0.021,2068.7451757459485,5100000.0,0.19536689471431276,0.0009999999999999974,0.005118574472211932,0,52,0,1e-08,0.005118574472211932,0.4424391425720956,0.2628625527777199,0.031525696043218386,6.820168339970422e-06,0.2560578845408816,1.5130168197794006e-09,0.00671980768512346,6.106420952618852e-09,1.567097046879247e-05,0.00024017630324714168,1.2391569629357359e-11,1.6466469028152584e-10,1.6831577487807023
22,0.022,2068.723169845592,5100000.0,0.1953648232281247,0.0010000000000000009,0.005118628745320826,0,52,0,1e-08,0.005118628745320826,0.44243960243686054,0.26286216807896623,0.03152607737500539,6.821127326586768e-06,0.25605749121905436,1.5125385875585563e-09,0.006719834824288925,6.104491490147547e-09,1.5668143472542267e-05,0.00024014269114090969,1.238759394533754e-11,1.646271687434678e-10,1.6831619615339533
