case,H2_red,H2_base,H2_err_%,CO_red,CO_base,CO_err_%,CO2_red,CO2_base,CO2_err_%,CH4_red,CH4_base,CH4_err_%,H2/CO_red,H2/CO_base,H2/CO_err_%,T_out_red_K,T_out_base_K,dT_out_K
A_case1_richter,0.0,0.5579491318507269,-100.0,0.0,0.24426320070685806,-100.0,0.0,0.026606244345422973,-100.0,0.0,0.16531578116907164,-99.99999999999999,0.0,2.2842128091178395,-100.0,273.15,1436.2684608383051,-1163.118460838305
A_case4_richter,0.0,0.6009373749115956,-100.0,0.0,0.2700017722247731,-100.0,0.0,0.02359962067742372,-100.0,0.0,0.09997054540948692,-100.0,0.0,2.2256793722499078,-100.0,273.15,1452.6745675681846,-1179.5245675681845
B_case1_134L,0.0,0.53720281280259,-100.0,0.0,0.23645836547952429,-100.0,0.0,0.02752969862017606,-100.0,0.0,0.19290538515991823,-100.0,0.0,2.2718706175320666,-100.0,273.15,1484.5361553273196,-1211.3861553273196
B_case4_134L,0.0,0.583934263200203,-100.0,0.0,0.2640600693037589,-100.0,0.0,0.024399003703693405,-99.99999999999999,0.0,0.12248695483648883,-100.0,0.0,2.211369044702022,-100.0,273.15,1498.9849695072294,-1225.8349695072293
