mechanism,case,H2_out,CO_out,CO2_out,CH4_out,H2_CO,T_out_K,H2_ref,CO_ref,CO2_ref,CH4_ref,T_ref_K,dH2,dCO,dCO2,dCH4,dT_K
gri,A_case1_richter,0.5579491318507269,0.24426320070685806,0.026606244345422973,0.16531578116907164,2.2842128091178395,1436.2684608383051,0.0,0.0,0.0,0.0,0.0,0.5579491318507269,0.24426320070685806,0.026606244345422973,0.16531578116907164,1436.2684608383051
gri,A_case4_richter,0.6009373749115956,0.2700017722247731,0.02359962067742372,0.09997054540948692,2.2256793722499078,1452.6745675681846,0.0,0.0,0.0,0.0,0.0,0.6009373749115956,0.2700017722247731,0.02359962067742372,0.09997054540948692,1452.6745675681846
gri,B_case1_134L,0.53720281280259,0.23645836547952429,0.02752969862017606,0.19290538515991823,2.2718706175320666,1484.5361553273196,0.0,0.0,0.0,0.0,0.0,0.53720281280259,0.23645836547952429,0.02752969862017606,0.19290538515991823,1484.5361553273196
gri,B_case4_134L,0.583934263200203,0.2640600693037589,0.024399003703693405,0.12248695483648883,2.211369044702022,1498.9849695072294,0.0,0.0,0.0,0.0,0.0,0.583934263200203,0.2640600693037589,0.024399003703693405,0.12248695483648883,1498.9849695072294
sandiego,A_case1_richter,0.559024139181509,0.24104147094061185,0.02600420861661579,0.1682944092501547,2.3192031520552834,1413.3018631821406,0.0,0.0,0.0,0.0,0.0,0.559024139181509,0.24104147094061185,0.02600420861661579,0.1682944092501547,1413.3018631821406
sandiego,A_case4_richter,0.6005113012144158,0.26666145630242516,0.023226319624762033,0.10426342171984151,2.251961380325494,1433.5434950376384,0.0,0.0,0.0,0.0,0.0,0.6005113012144158,0.26666145630242516,0.023226319624762033,0.10426342171984151,1433.5434950376384
sandiego,B_case1_134L,0.5484245123382337,0.23859265527279666,0.026696702644180337,0.18019843503583913,2.2985808666708056,1449.349846878898,0.0,0.0,0.0,0.0,0.0,0.5484245123382337,0.23859265527279666,0.026696702644180337,0.18019843503583913,1449.349846878898
sandiego,B_case4_134L,0.5914801605750422,0.26497070657411487,0.023844031993977336,0.11409881405548093,2.2322473613119924,1470.6187799979316,0.0,0.0,0.0,0.0,0.0,0.5914801605750422,0.26497070657411487,0.023844031993977336,0.11409881405548093,1470.6187799979316
